City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,81.43,light rain,3.0707,172.7902,No hotel found
5,Bairiki,KI,80.6,light intensity shower rain,1.3292,172.9752,Marry's Motel
7,Axim,GH,78.22,light rain,4.8699,-2.2405,Axim Beach Hotel
8,Hilo,US,73.26,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
10,Muncar,ID,84.76,overcast clouds,-8.4333,114.3333,No hotel found
12,Vao,NC,75.85,overcast clouds,-22.6667,167.4833,Nataiwatch
14,Springbok,ZA,75.78,thunderstorm,-29.6643,17.8865,Elkoweru Guesthouse
18,Kapaa,US,79.12,few clouds,22.0752,-159.319,Pono Kai Resort
19,Hambantota,LK,79.14,light rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
20,Rikitea,PF,78.96,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
26,Penha,BR,73.85,overcast clouds,-26.7694,-48.6458,Piçarras
30,The Valley,AI,76.86,few clouds,18.217,-63.0578,CeBlue
33,Ilhabela,BR,74.57,broken clouds,-23.7781,-45.3581,Vila Kebaya
34,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti International Resort
46,Ayyampettai,IN,78.51,clear sky,10.9014,79.1798,No hotel found
47,Mataura,NZ,77.14,clear sky,-46.1927,168.8643,No hotel found
49,Itarema,BR,77.45,broken clouds,-2.9248,-39.9167,Pousada Oásis
50,Kavieng,PG,81.68,overcast clouds,-2.5744,150.7967,Kavieng Hotel
51,Puerto Ayora,EC,74.55,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
54,Atuona,PF,79.43,few clouds,-9.8,-139.0333,Pearl Resort
56,Manggar,ID,82.49,overcast clouds,-2.8833,108.2667,No hotel found
58,Avarua,CK,80.65,moderate rain,-21.2078,-159.775,Paradise Inn
59,Kavaratti,IN,80.42,broken clouds,10.5669,72.642,No hotel found
63,Airai,TL,71.2,overcast clouds,-8.9266,125.4092,No hotel found
64,East London,ZA,74.34,clear sky,-33.0153,27.9116,No hotel found
69,Omboue,GA,76.86,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
76,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,The Adventures Inn
77,Dindori,IN,71.2,clear sky,22.95,81.0833,No hotel found
80,Hithadhoo,MV,80.89,clear sky,-0.6,73.0833,Pebbles Inn
82,Arraial Do Cabo,BR,73.53,clear sky,-22.9661,-42.0278,No hotel found
90,Port Alfred,ZA,73.18,overcast clouds,-33.5906,26.891,No hotel found
92,Sonepur,IN,79.9,clear sky,20.8333,83.9167,No hotel found
93,Banda Aceh,ID,82.15,overcast clouds,5.5577,95.3222,Hotel 61
97,Veraval,IN,72.81,clear sky,20.9,70.3667,Shyam
99,Busselton,AU,77.9,broken clouds,-33.65,115.3333,No hotel found
100,Cape Town,ZA,72.37,light rain,-33.9258,18.4232,Townhouse Hotel
103,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,Le Baril
106,San Patricio,US,71.83,overcast clouds,28.017,-97.5169,No hotel found
108,Bredasdorp,ZA,71.38,overcast clouds,-34.5322,20.0403,Victoria Hotel
111,Carutapera,BR,73.38,overcast clouds,-1.195,-46.02,No hotel found
112,Mar Del Plata,AR,71.83,mist,-38.0023,-57.5575,Nuevo Ostende
119,Bandarbeyla,SO,76.42,scattered clouds,9.4942,50.8122,No hotel found
120,Senador Jose Porfirio,BR,71.65,moderate rain,-2.5908,-51.9542,No hotel found
122,Cabinda,AO,77.72,light rain,-5.55,12.2,Hotel Mayombe
124,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Hotel Hero
126,Bambous Virieux,MU,82.22,light rain,-20.3428,57.7575,No hotel found
128,Port Blair,IN,82.44,haze,11.6667,92.75,Andaman Ocean Breeze
139,Port Keats,AU,87.04,moderate rain,-14.25,129.55,No hotel found
140,Marawi,PH,76.82,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
143,Carnarvon,AU,89.46,few clouds,-24.8667,113.6333,No hotel found
145,Rio Grande,BR,72.39,few clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
146,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
151,Det Udom,TH,78.62,broken clouds,14.906,105.0784,No hotel found
152,Sao Miguel Do Iguacu,BR,72.48,broken clouds,-25.3481,-54.2378,No hotel found
155,Aquin,HT,71.24,few clouds,18.2833,-73.4,Hotel Aldy
158,Bac Lieu,VN,84.13,scattered clouds,9.285,105.7244,Khách sạn Bạc Liêu
166,Swan Hill,AU,74.3,light rain,-35.3378,143.5544,No hotel found
167,Kanel,SN,74.16,broken clouds,15.4916,-13.1763,No hotel found
168,Waingapu,ID,84.72,broken clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
170,Yaan,NG,72.09,scattered clouds,7.3833,8.5667,No hotel found
172,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Hotel Takara
173,Conceicao Do Araguaia,BR,70.48,overcast clouds,-8.2578,-49.2647,No hotel found
174,Ugoofaaru,MV,80.92,scattered clouds,5.6667,73.0,No hotel found
176,Morros,BR,71.8,overcast clouds,-9.4467,-46.3003,No hotel found
180,Tibu,CO,70.68,scattered clouds,8.639,-72.7358,No hotel found
181,Dhidhdhoo,MV,80.49,clear sky,6.8833,73.1,No hotel found
182,Aparecida Do Taboado,BR,72.03,overcast clouds,-20.0867,-51.0936,Novo Hotel
184,Meulaboh,ID,82.42,overcast clouds,4.1363,96.1285,Hotel Meuligou
187,Kruisfontein,ZA,71.89,overcast clouds,-34.0033,24.7314,No hotel found
189,Santa Isabel,BR,70.9,overcast clouds,-23.3156,-46.2214,No hotel found
192,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,No hotel found
196,Ambilobe,MG,77.83,broken clouds,-13.2,49.05,Hôtel National
198,Coruripe,BR,77.36,overcast clouds,-10.1256,-36.1756,No hotel found
200,Natal,BR,74.05,clear sky,-5.795,-35.2094,Natal Palace Hotel
208,Sinnamary,GF,75.49,overcast clouds,5.3833,-52.95,Hôtel du fleuve
209,Upata,VE,71.19,broken clouds,8.0086,-62.3989,Hotel Garibardi
210,Kalmunai,LK,79.88,broken clouds,7.4167,81.8167,Saji new food
215,Souillac,MU,80.98,light rain,-20.5167,57.5167,Hotel SkylineInn
216,Sao Joao Da Barra,BR,74.26,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
219,Port Elizabeth,ZA,74.1,overcast clouds,-33.918,25.5701,Waterford Hotel
221,Acapulco,MX,75.94,broken clouds,16.8634,-99.8901,Hotel del Valle
224,Broken Hill,AU,82.8,light rain,-31.95,141.4333,Ibis Styles
226,Tivaouane,SN,80.94,broken clouds,14.9515,-16.8129,Hotel Aldjanatou
227,Punta Cardon,VE,76.93,scattered clouds,11.6581,-70.215,Hotel Bijou Amethyste Punto Fijo Paraguana
242,Wellington,NZ,76.59,few clouds,-41.2866,174.7756,Travelodge
243,Taxisco,GT,70.9,broken clouds,14.0708,-90.4631,Hotel Jeresol
246,Plettenberg Bay,ZA,71.67,overcast clouds,-34.0527,23.3716,Milkwood Manor
248,Kaeo,NZ,73.33,broken clouds,-35.1,173.7833,No hotel found
253,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
256,Caravelas,BR,73.4,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
259,Tevaitoa,PF,80.87,light rain,-16.7833,-151.5,Chambre d'hote
264,Vinukonda,IN,79.27,clear sky,16.05,79.75,BhagyaSree Loadge
265,Catuday,PH,80.74,overcast clouds,16.2923,119.8062,Nina Anchors Inn
267,Moyale,KE,73.17,few clouds,3.5167,39.0584,Nicest
270,Mahibadhoo,MV,81.05,scattered clouds,3.7833,72.9667,Coral View Inn
271,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
274,Touros,BR,77.94,broken clouds,-5.1989,-35.4608,Pousada Atlântico
276,Te Anau,NZ,76.69,few clouds,-45.4167,167.7167,Lakeside Motels & Apartments
279,Palembang,ID,82.49,scattered clouds,-2.9167,104.7458,OYO 183 The Pipe House
281,Charters Towers,AU,81.72,overcast clouds,-20.1,146.2667,No hotel found
287,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
292,Mitu,CO,70.43,moderate rain,1.1983,-70.1733,No hotel found
293,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,The Observatory
296,Uruguaiana,BR,84.13,clear sky,-29.7547,-57.0883,Casa Branca
302,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
303,General Roca,AR,70.16,light rain,-39.0333,-67.5833,Hotel Austral
306,Phan Thiet,VN,85.73,overcast clouds,10.9333,108.1,Khách sạn Cà Ty
308,Buin,CL,70.74,clear sky,-33.7333,-70.75,No hotel found
311,Merauke,ID,85.59,overcast clouds,-8.4667,140.3333,No hotel found
313,Pizarro,CO,74.8,light rain,4.9533,-77.366,No hotel found
317,Alugan,PH,80.69,moderate rain,12.2188,125.4808,No hotel found
319,Honolulu,US,77.86,few clouds,21.3069,-157.8583,Pagoda Hotel
325,Zaraza,VE,73.24,scattered clouds,9.3503,-65.3245,No hotel found
326,Luganville,VU,80.8,overcast clouds,-15.5333,167.1667,Beachfront Resort
327,Dingle,PH,81.59,overcast clouds,10.9995,122.6711,No hotel found
330,Santa Cruz,BO,72.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
333,Nueve De Julio,AR,76.96,overcast clouds,-35.4444,-60.8831,Hotel Madrid
338,Manaus,BR,75.69,broken clouds,-3.1019,-60.025,No hotel found
347,Bosaso,SO,76.98,clear sky,11.2842,49.1816,Bosaso hotel
351,Morant Bay,JM,76.62,scattered clouds,17.8815,-76.4093,Morant Villas
352,Guarapari,BR,73.89,clear sky,-20.6667,-40.4975,Osmar Hotel
353,Alofi,NU,84.09,moderate rain,-19.0595,-169.9187,No hotel found
362,Teluk Nibung,ID,84.58,overcast clouds,3.001,99.8164,Hotel Bengawan
363,Bonthe,SL,73.2,scattered clouds,7.5264,-12.505,No hotel found
383,Jardim De Piranhas,BR,76.46,scattered clouds,-6.3786,-37.3519,No hotel found
386,Flinders,AU,80.19,broken clouds,-34.5833,150.8552,No hotel found
388,Puerto Colombia,CO,78.89,few clouds,10.9878,-74.9547,Hotel Puerto Colombia
396,Pandaan,ID,83.7,overcast clouds,-7.6527,112.6875,Hotel Candra
401,Sao Filipe,CV,75.72,broken clouds,14.8961,-24.4956,Bela Vista
405,Palauig,PH,84.34,overcast clouds,15.435,119.9045,No hotel found
406,Bubaque,GW,77.58,overcast clouds,11.2833,-15.8333,Chez Julio
407,Tautira,PF,79.68,light rain,-17.7333,-149.15,No hotel found
409,Karaton,ID,83.88,overcast clouds,-6.3424,106.1045,No hotel found
411,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Coco Villa
413,Mamallapuram,IN,77.05,scattered clouds,12.6264,80.1722,Radisson Temple Bay
415,Poum,NC,74.73,overcast clouds,-20.2333,164.0167,No hotel found
419,Pitimbu,BR,77.7,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
425,Cidreira,BR,73.71,overcast clouds,-30.1811,-50.2056,Hotel Castelo
426,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Cape Garden
431,Pathein,MM,83.82,scattered clouds,16.7833,94.7333,Taan Taan Ta
432,Portel,BR,72.19,overcast clouds,-1.9356,-50.8211,No hotel found
433,Beloha,MG,79.9,clear sky,-25.1667,45.05,No hotel found
435,Pakxan,LA,78.49,scattered clouds,18.3778,103.6601,Meanam hotel
436,Partur,IN,75.88,clear sky,19.6,76.2167,No hotel found
440,Vila Velha,BR,73.94,clear sky,-20.3297,-40.2925,Hotel Prainha
444,Becerril,CO,77.25,scattered clouds,9.7041,-73.2793,No hotel found
445,Hobyo,SO,78.49,broken clouds,5.3505,48.5268,No hotel found
451,Bonoua,CI,78.42,light rain,5.2741,-3.595,Aliekro Hôtel
454,Kerema,PG,86.11,broken clouds,-7.9631,145.7785,No hotel found
457,Pundaguitan,PH,81.46,broken clouds,6.3711,126.1689,No hotel found
459,Miri,MY,84.6,broken clouds,4.4148,114.0089,Kenyalang Suites Miri
466,Belmonte,BR,74.57,clear sky,-15.8631,-38.8828,No hotel found
467,Piacabucu,BR,77.34,overcast clouds,-10.4056,-36.4344,O Leão
473,Ballina,AU,82.78,clear sky,-28.8667,153.5667,Ballina Beach Resort
477,Ko Samui,TH,80.47,broken clouds,9.5357,99.9357,Nathon Residence
478,Bengkulu,ID,83.84,broken clouds,-3.8004,102.2655,Dena Hotel
480,Aloleng,PH,84.65,broken clouds,16.1307,119.7824,No hotel found
481,Chimore,BO,71.33,overcast clouds,-16.9833,-65.1333,No hotel found
482,Ribas Do Rio Pardo,BR,70.41,overcast clouds,-20.4431,-53.7592,Hotel São Francisco
483,Parana,AR,89.55,overcast clouds,-31.732,-60.5238,Grand Hotel Alvear
484,Kiama,AU,80.38,broken clouds,-34.6833,150.8667,Nova Kiama
485,Quelimane,MZ,79.95,overcast clouds,-17.8786,36.8883,Mabassa
488,Trairi,BR,76.62,broken clouds,-3.2778,-39.2689,No hotel found
491,Takaka,NZ,72.55,few clouds,-40.85,172.8,No hotel found
492,San Andres,CO,78.96,light rain,12.5847,-81.7006,Hotel Decameron Isleño
497,Padang,ID,84.25,broken clouds,-0.9492,100.3543,losmen Surya
499,Gambiran,ID,83.08,light rain,-6.7988,111.4951,No hotel found
501,Nhulunbuy,AU,83.01,light rain,-12.2333,136.7667,No hotel found
513,Cockburn Town,TC,75.69,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
515,Lubao,PH,83.73,overcast clouds,14.9167,120.55,Hacienda de Gracia Resort
516,Salalah,OM,75.29,scattered clouds,17.0151,54.0924,Muscat International Hotel
520,Loum,CM,72.32,light rain,4.7182,9.7351,Hôtel Josephina
522,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Grand Bel Air
523,Santa Fe,AR,89.01,light rain,-31.6333,-60.7,Intersur Hotel
528,Yenagoa,NG,76.01,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
529,Ojhar,IN,73.08,clear sky,20.1,73.9333,No hotel found
532,Yenangyaung,MM,77.29,clear sky,20.4667,94.8833,No hotel found
536,Carlagan,PH,75.16,overcast clouds,14.975,122.0456,No hotel found
544,Champerico,GT,75.83,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
550,Baleshwar,IN,73.99,broken clouds,21.4942,86.9317,Dropadi
555,Faanui,PF,81.14,scattered clouds,-16.4833,-151.75,Oa Oa Lodge
561,Harper,LR,77.74,scattered clouds,4.375,-7.7169,No hotel found
567,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,No hotel found
569,Basco,PH,73.47,overcast clouds,20.4487,121.9702,Tawsen Hotel
571,Bontang,ID,83.68,overcast clouds,0.1333,117.5,Hotel Sederhana
572,Celestun,MX,73.15,few clouds,20.8667,-90.4,Hotel Flamingo Playa
574,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,The Abidah By Accra
576,Sur,OM,73.53,clear sky,22.5667,59.5289,Sur Hotel
579,Cravo Norte,CO,78.19,broken clouds,6.3017,-70.2041,No hotel found
584,Koumac,NC,74.73,overcast clouds,-20.5667,164.2833,Monitel Koumac
586,Iralaya,HN,75.47,scattered clouds,15.0,-83.2333,No hotel found
589,Malakal,SS,72.28,overcast clouds,9.5334,31.6605,No hotel found
590,Tabou,CI,76.95,broken clouds,4.423,-7.3528,hôtel le rochet
593,Port Augusta,AU,77.43,overcast clouds,-32.5,137.7667,Hotel Commonwealth
606,Laredo,US,70.09,clear sky,27.5064,-99.5075,Rialto Hotel
610,Santa Maria,BR,70.21,clear sky,-29.6842,-53.8069,Hotel Morotin
616,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Port Wine Guest House
617,Yumbing,PH,81.93,broken clouds,9.2393,124.6578,Marianita's cottages
618,Esmeraldas,BR,70.66,clear sky,-19.7625,-44.3139,No hotel found
619,Gondanglegi,ID,85.62,overcast clouds,-7.7479,112.0132,No hotel found
623,Kawalu,ID,81.45,overcast clouds,-7.3817,108.2082,Hotel Surya
624,Port Hedland,AU,89.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
625,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
627,Thinadhoo,MV,81.03,broken clouds,0.5333,72.9333,No hotel found
629,Nicoya,CR,72.21,scattered clouds,10.1483,-85.452,Hotel marianela
631,Amlagora,IN,71.65,scattered clouds,22.8333,87.3333,No hotel found
632,Kibala,TD,71.8,overcast clouds,9.1104,18.3463,No hotel found
637,Terenos,BR,73.11,broken clouds,-20.4422,-54.8603,No hotel found
638,General Pico,AR,73.13,moderate rain,-35.6566,-63.7568,Euskadi Hotel
639,Praia,CV,72.14,clear sky,14.9215,-23.5087,Casa Sodadi
642,Whyalla,AU,71.87,overcast clouds,-33.0333,137.5833,Whyalla Playford Apartments
645,Kokoda,PG,83.88,overcast clouds,-8.8785,147.7407,No hotel found
648,Contamana,PE,76.95,overcast clouds,-7.3333,-75.0167,No hotel found
649,Formosa,AR,77.7,clear sky,-26.1775,-58.1781,Hotel Hostal del Rey
651,Moranbah,AU,82.26,broken clouds,-22.0016,148.0466,No hotel found
652,Panama City,PA,77.29,overcast clouds,8.9936,-79.5197,Hostal Familiar Carmencita
654,Razole,IN,81.3,clear sky,16.4833,81.8333,No hotel found
659,Luwuk,ID,86.81,overcast clouds,-0.9516,122.7875,No hotel found
663,Biak,ID,83.62,light rain,-0.9131,122.8766,No hotel found
666,Villarrica,PY,74.52,few clouds,-25.75,-56.4333,No hotel found
674,Tamandare,BR,76.66,overcast clouds,-8.7597,-35.1047,Pousada Baia dos Corais
675,Indramayu,ID,81.59,light rain,-6.3264,108.32,No hotel found
678,Antsohihy,MG,80.19,broken clouds,-14.8796,47.9875,Escale
679,Sambava,MG,78.3,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
680,Morondava,MG,80.98,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
683,Samarai,PG,84.74,overcast clouds,-10.6167,150.6667,No hotel found
690,Auki,SB,81.81,moderate rain,-8.7676,160.7034,No hotel found
691,Sabang,ID,80.55,overcast clouds,5.8933,95.3214,Sabang Hill
694,Rurrenabaque,BO,71.38,overcast clouds,-14.4413,-67.5278,Hostal Madidi
